cluster1,cluster2,rmsd
clusters/cluster-0.xyz,clusters/cluster-1.xyz,5.097479552448893
clusters/cluster-0.xyz,clusters/cluster-2.xyz,5.219391924173096
clusters/cluster-0.xyz,clusters/cluster-3.xyz,5.510079580050847
clusters/cluster-0.xyz,clusters/cluster-4.xyz,5.247721337374596
clusters/cluster-0.xyz,clusters/cluster-5.xyz,4.175064429980667
clusters/cluster-0.xyz,clusters/cluster-6.xyz,4.310801849332945
clusters/cluster-0.xyz,clusters/cluster-7.xyz,4.550597814943394
clusters/cluster-0.xyz,clusters/cluster-8.xyz,5.046180283340544
clusters/cluster-0.xyz,clusters/cluster-9.xyz,5.15005601522557
clusters/cluster-0.xyz,clusters/cluster-10.xyz,5.370678436736068
clusters/cluster-0.xyz,clusters/cluster-11.xyz,5.476337058581536
clusters/cluster-0.xyz,clusters/cluster-12.xyz,5.216480747941258
clusters/cluster-0.xyz,clusters/cluster-13.xyz,4.933765121479234
clusters/cluster-0.xyz,clusters/cluster-14.xyz,4.790041397378788
clusters/cluster-0.xyz,clusters/cluster-15.xyz,4.488690602232488
clusters/cluster-0.xyz,clusters/cluster-16.xyz,4.470182843874814
clusters/cluster-0.xyz,clusters/cluster-17.xyz,5.780177481314167
clusters/cluster-0.xyz,clusters/cluster-18.xyz,5.056795661218605
clusters/cluster-0.xyz,clusters/cluster-19.xyz,4.955263878660911
clusters/cluster-0.xyz,clusters/cluster-20.xyz,5.046319887443865
clusters/cluster-0.xyz,clusters/cluster-21.xyz,4.972408578530976
clusters/cluster-0.xyz,clusters/cluster-22.xyz,5.386482012556058
clusters/cluster-0.xyz,clusters/cluster-23.xyz,4.539722787130649
clusters/cluster-0.xyz,clusters/cluster-24.xyz,5.393651991287646
clusters/cluster-0.xyz,clusters/cluster-25.xyz,4.4153407070704045
clusters/cluster-0.xyz,clusters/cluster-26.xyz,4.915938758065332
clusters/cluster-0.xyz,clusters/cluster-27.xyz,5.196533159144095
clusters/cluster-0.xyz,clusters/cluster-28.xyz,4.706324695538567
clusters/cluster-0.xyz,clusters/cluster-29.xyz,5.3901082597771595
clusters/cluster-0.xyz,clusters/cluster-30.xyz,4.821208760364427
clusters/cluster-0.xyz,clusters/cluster-31.xyz,4.77001408268849
clusters/cluster-0.xyz,clusters/cluster-32.xyz,4.941664756514229
clusters/cluster-0.xyz,clusters/cluster-33.xyz,5.674052969831293
clusters/cluster-0.xyz,clusters/cluster-34.xyz,4.775618166668709
clusters/cluster-0.xyz,clusters/cluster-35.xyz,5.588864566004237
clusters/cluster-0.xyz,clusters/cluster-36.xyz,5.336473112871132
clusters/cluster-0.xyz,clusters/cluster-37.xyz,4.175190816629231
clusters/cluster-0.xyz,clusters/cluster-38.xyz,4.742608367887758
clusters/cluster-0.xyz,clusters/cluster-39.xyz,4.915606583541128
clusters/cluster-0.xyz,clusters/cluster-40.xyz,4.6117390821613835
clusters/cluster-0.xyz,clusters/cluster-41.xyz,4.646549289665522
clusters/cluster-0.xyz,clusters/cluster-42.xyz,4.644770795774541
clusters/cluster-0.xyz,clusters/cluster-43.xyz,4.637935786176698
clusters/cluster-0.xyz,clusters/cluster-44.xyz,4.138692822654068
clusters/cluster-0.xyz,clusters/cluster-45.xyz,4.486719670657324
clusters/cluster-0.xyz,clusters/cluster-46.xyz,4.331294270053102
clusters/cluster-0.xyz,clusters/cluster-47.xyz,5.070166776540829
clusters/cluster-0.xyz,clusters/cluster-48.xyz,4.581337944383125
clusters/cluster-0.xyz,clusters/cluster-49.xyz,5.013064405356838
clusters/cluster-0.xyz,clusters/cluster-50.xyz,5.221202716932192
clusters/cluster-0.xyz,clusters/cluster-51.xyz,5.224310490292504
clusters/cluster-0.xyz,clusters/cluster-52.xyz,5.314400207074245
clusters/cluster-0.xyz,clusters/cluster-53.xyz,5.389569938262298
clusters/cluster-0.xyz,clusters/cluster-54.xyz,4.470866588971367
clusters/cluster-0.xyz,clusters/cluster-55.xyz,4.9990377472367875
clusters/cluster-0.xyz,clusters/cluster-56.xyz,5.218902988765548
clusters/cluster-0.xyz,clusters/cluster-57.xyz,4.793478700842279
clusters/cluster-0.xyz,clusters/cluster-58.xyz,4.518263707986689
clusters/cluster-0.xyz,clusters/cluster-59.xyz,4.912727300865845
clusters/cluster-0.xyz,clusters/cluster-60.xyz,4.6951262704555825
clusters/cluster-0.xyz,clusters/cluster-61.xyz,5.417092147967045
clusters/cluster-0.xyz,clusters/cluster-62.xyz,4.880365326786535
clusters/cluster-0.xyz,clusters/cluster-63.xyz,4.502104074236851
clusters/cluster-0.xyz,clusters/cluster-64.xyz,4.50173926970612
clusters/cluster-0.xyz,clusters/cluster-65.xyz,5.1813761519145904
clusters/cluster-0.xyz,clusters/cluster-66.xyz,4.449554557476202
clusters/cluster-0.xyz,clusters/cluster-67.xyz,4.882625747281517
clusters/cluster-0.xyz,clusters/cluster-68.xyz,5.325123235896586
clusters/cluster-0.xyz,clusters/cluster-69.xyz,4.801772398168794
clusters/cluster-0.xyz,clusters/cluster-70.xyz,4.922308904820139
clusters/cluster-0.xyz,clusters/cluster-71.xyz,4.974692489037018
clusters/cluster-0.xyz,clusters/cluster-72.xyz,5.15864991612082
clusters/cluster-0.xyz,clusters/cluster-73.xyz,5.172347513602902
clusters/cluster-0.xyz,clusters/cluster-74.xyz,4.548000740686623
clusters/cluster-0.xyz,clusters/cluster-75.xyz,5.544154625513314
clusters/cluster-0.xyz,clusters/cluster-76.xyz,4.784157324592527
clusters/cluster-0.xyz,clusters/cluster-77.xyz,4.8504345583873985
clusters/cluster-0.xyz,clusters/cluster-78.xyz,4.36756603961386
clusters/cluster-0.xyz,clusters/cluster-79.xyz,5.001151764659572
clusters/cluster-0.xyz,clusters/cluster-80.xyz,5.22333357245122
clusters/cluster-0.xyz,clusters/cluster-81.xyz,4.663202618950555
clusters/cluster-0.xyz,clusters/cluster-82.xyz,5.13394413723497
clusters/cluster-0.xyz,clusters/cluster-83.xyz,4.745801264358939
clusters/cluster-0.xyz,clusters/cluster-84.xyz,5.229170909951071
clusters/cluster-0.xyz,clusters/cluster-85.xyz,4.416956428002249
clusters/cluster-0.xyz,clusters/cluster-86.xyz,5.399533437395132
clusters/cluster-0.xyz,clusters/cluster-87.xyz,4.91625419823765
clusters/cluster-0.xyz,clusters/cluster-88.xyz,4.656269547476552
clusters/cluster-0.xyz,clusters/cluster-89.xyz,5.5094464686192355
clusters/cluster-0.xyz,clusters/cluster-90.xyz,4.417516943218194
clusters/cluster-0.xyz,clusters/cluster-91.xyz,5.090798247822348
clusters/cluster-0.xyz,clusters/cluster-92.xyz,5.509417182792676
clusters/cluster-0.xyz,clusters/cluster-93.xyz,4.294283931439731
clusters/cluster-0.xyz,clusters/cluster-94.xyz,4.418818811542267
clusters/cluster-0.xyz,clusters/cluster-95.xyz,4.014938180293265
clusters/cluster-0.xyz,clusters/cluster-96.xyz,4.843639384702011
clusters/cluster-0.xyz,clusters/cluster-97.xyz,4.789610296396656
clusters/cluster-0.xyz,clusters/cluster-98.xyz,5.2162540489839255
clusters/cluster-1.xyz,clusters/cluster-0.xyz,5.097479552448893
clusters/cluster-1.xyz,clusters/cluster-2.xyz,4.797057585366504
clusters/cluster-1.xyz,clusters/cluster-3.xyz,4.434330460489595
clusters/cluster-1.xyz,clusters/cluster-4.xyz,4.69853761374124
clusters/cluster-1.xyz,clusters/cluster-5.xyz,5.020226437655325
clusters/cluster-1.xyz,clusters/cluster-6.xyz,4.814002228437163
clusters/cluster-1.xyz,clusters/cluster-7.xyz,5.107683992988345
clusters/cluster-1.xyz,clusters/cluster-8.xyz,4.604901719397509
clusters/cluster-1.xyz,clusters/cluster-9.xyz,4.622527426062853
clusters/cluster-1.xyz,clusters/cluster-10.xyz,4.6772445042062065
clusters/cluster-1.xyz,clusters/cluster-11.xyz,4.79777653314414
clusters/cluster-1.xyz,clusters/cluster-12.xyz,4.768032576479241
clusters/cluster-1.xyz,clusters/cluster-13.xyz,4.886184830194343
clusters/cluster-1.xyz,clusters/cluster-14.xyz,5.07177935231005
clusters/cluster-1.xyz,clusters/cluster-15.xyz,4.782641012618083
clusters/cluster-1.xyz,clusters/cluster-16.xyz,5.089962905337888
clusters/cluster-1.xyz,clusters/cluster-17.xyz,5.055273945600433
clusters/cluster-1.xyz,clusters/cluster-18.xyz,4.908407118319869
clusters/cluster-1.xyz,clusters/cluster-19.xyz,4.858982948835911
clusters/cluster-1.xyz,clusters/cluster-20.xyz,4.797110516329512
clusters/cluster-1.xyz,clusters/cluster-21.xyz,4.697208662478447
clusters/cluster-1.xyz,clusters/cluster-22.xyz,4.512377370012894
clusters/cluster-1.xyz,clusters/cluster-23.xyz,3.9488903756751452
clusters/cluster-1.xyz,clusters/cluster-24.xyz,4.480048168318957
clusters/cluster-1.xyz,clusters/cluster-25.xyz,4.796381751377207
clusters/cluster-1.xyz,clusters/cluster-26.xyz,5.044769288509647
clusters/cluster-1.xyz,clusters/cluster-27.xyz,4.103564742256062
clusters/cluster-1.xyz,clusters/cluster-28.xyz,4.977708746972982
clusters/cluster-1.xyz,clusters/cluster-29.xyz,4.74487433402113
clusters/cluster-1.xyz,clusters/cluster-30.xyz,4.910066995591091
clusters/cluster-1.xyz,clusters/cluster-31.xyz,4.346608689029679
clusters/cluster-1.xyz,clusters/cluster-32.xyz,5.204479316546318
clusters/cluster-1.xyz,clusters/cluster-33.xyz,5.0919273607386035
clusters/cluster-1.xyz,clusters/cluster-34.xyz,4.6396229777224685
clusters/cluster-1.xyz,clusters/cluster-35.xyz,5.013281587608973
clusters/cluster-1.xyz,clusters/cluster-36.xyz,4.887474553179989
clusters/cluster-1.xyz,clusters/cluster-37.xyz,5.054082114136944
clusters/cluster-1.xyz,clusters/cluster-38.xyz,4.584606862927082
clusters/cluster-1.xyz,clusters/cluster-39.xyz,5.107353142810062
clusters/cluster-1.xyz,clusters/cluster-40.xyz,4.866326581038328
clusters/cluster-1.xyz,clusters/cluster-41.xyz,4.487213984758429
clusters/cluster-1.xyz,clusters/cluster-42.xyz,4.764708090207221
clusters/cluster-1.xyz,clusters/cluster-43.xyz,4.760856136139372
clusters/cluster-1.xyz,clusters/cluster-44.xyz,4.60951243844613
clusters/cluster-1.xyz,clusters/cluster-45.xyz,4.593239091477998
clusters/cluster-1.xyz,clusters/cluster-46.xyz,4.5004168006313625
clusters/cluster-1.xyz,clusters/cluster-47.xyz,5.285880328605523
clusters/cluster-1.xyz,clusters/cluster-48.xyz,4.719750639479783
clusters/cluster-1.xyz,clusters/cluster-49.xyz,3.6707811473179444
clusters/cluster-1.xyz,clusters/cluster-50.xyz,4.920633243528476
clusters/cluster-1.xyz,clusters/cluster-51.xyz,5.057586738968179
clusters/cluster-1.xyz,clusters/cluster-52.xyz,4.477963151330646
clusters/cluster-1.xyz,clusters/cluster-53.xyz,4.856942677366303
clusters/cluster-1.xyz,clusters/cluster-54.xyz,5.192911727671708
clusters/cluster-1.xyz,clusters/cluster-55.xyz,4.934029176884047
clusters/cluster-1.xyz,clusters/cluster-56.xyz,4.565462164205964
clusters/cluster-1.xyz,clusters/cluster-57.xyz,4.7887711638506065
clusters/cluster-1.xyz,clusters/cluster-58.xyz,4.953695552765225
clusters/cluster-1.xyz,clusters/cluster-59.xyz,4.930243995467646
clusters/cluster-1.xyz,clusters/cluster-60.xyz,5.22035014403767
clusters/cluster-1.xyz,clusters/cluster-61.xyz,4.131720363782231
clusters/cluster-1.xyz,clusters/cluster-62.xyz,4.411646230452018
clusters/cluster-1.xyz,clusters/cluster-63.xyz,5.190884743706066
clusters/cluster-1.xyz,clusters/cluster-64.xyz,5.030185404987918
clusters/cluster-1.xyz,clusters/cluster-65.xyz,4.54182066524682
clusters/cluster-1.xyz,clusters/cluster-66.xyz,3.967719745276208
clusters/cluster-1.xyz,clusters/cluster-67.xyz,5.249459019147582
clusters/cluster-1.xyz,clusters/cluster-68.xyz,4.7708710162918955
clusters/cluster-1.xyz,clusters/cluster-69.xyz,5.1501021934314455
clusters/cluster-1.xyz,clusters/cluster-70.xyz,4.833315935398411
clusters/cluster-1.xyz,clusters/cluster-71.xyz,4.4525153219261275
clusters/cluster-1.xyz,clusters/cluster-72.xyz,4.589444000504347
clusters/cluster-1.xyz,clusters/cluster-73.xyz,4.978055954174376
clusters/cluster-1.xyz,clusters/cluster-74.xyz,5.090379158498992
clusters/cluster-1.xyz,clusters/cluster-75.xyz,4.513621606895821
clusters/cluster-1.xyz,clusters/cluster-76.xyz,4.956282388423962
clusters/cluster-1.xyz,clusters/cluster-77.xyz,5.246185982495282
clusters/cluster-1.xyz,clusters/cluster-78.xyz,5.177552508993064
clusters/cluster-1.xyz,clusters/cluster-79.xyz,4.179101106853429
clusters/cluster-1.xyz,clusters/cluster-80.xyz,4.871560959478152
clusters/cluster-1.xyz,clusters/cluster-81.xyz,4.728638938446844
clusters/cluster-1.xyz,clusters/cluster-82.xyz,4.730708723303426
clusters/cluster-1.xyz,clusters/cluster-83.xyz,5.107336562597704
clusters/cluster-1.xyz,clusters/cluster-84.xyz,4.472490442824786
clusters/cluster-1.xyz,clusters/cluster-85.xyz,4.9590460528063165
clusters/cluster-1.xyz,clusters/cluster-86.xyz,5.101544991633761
clusters/cluster-1.xyz,clusters/cluster-87.xyz,4.498776522337403
clusters/cluster-1.xyz,clusters/cluster-88.xyz,5.151971183463313
clusters/cluster-1.xyz,clusters/cluster-89.xyz,3.670576869828906
clusters/cluster-1.xyz,clusters/cluster-90.xyz,5.397169040838713
clusters/cluster-1.xyz,clusters/cluster-91.xyz,4.490728885166644
clusters/cluster-1.xyz,clusters/cluster-92.xyz,4.247674978962368
clusters/cluster-1.xyz,clusters/cluster-93.xyz,4.786151798309565
clusters/cluster-1.xyz,clusters/cluster-94.xyz,5.22506846784631
clusters/cluster-1.xyz,clusters/cluster-95.xyz,4.77555042909736
clusters/cluster-1.xyz,clusters/cluster-96.xyz,5.066352042519679
clusters/cluster-1.xyz,clusters/cluster-97.xyz,3.9177089294360052
clusters/cluster-1.xyz,clusters/cluster-98.xyz,4.9272980516117055
clusters/cluster-2.xyz,clusters/cluster-0.xyz,5.219391924173098
clusters/cluster-2.xyz,clusters/cluster-1.xyz,4.797057585366503
clusters/cluster-2.xyz,clusters/cluster-3.xyz,4.868454075641672
clusters/cluster-2.xyz,clusters/cluster-4.xyz,4.764751406790719
clusters/cluster-2.xyz,clusters/cluster-5.xyz,4.265282781033916
clusters/cluster-2.xyz,clusters/cluster-6.xyz,4.926473780319686
clusters/cluster-2.xyz,clusters/cluster-7.xyz,4.604785558273884
clusters/cluster-2.xyz,clusters/cluster-8.xyz,4.899242178905259
clusters/cluster-2.xyz,clusters/cluster-9.xyz,4.792189346489309
clusters/cluster-2.xyz,clusters/cluster-10.xyz,4.985115260961737
clusters/cluster-2.xyz,clusters/cluster-11.xyz,4.095072495800406
clusters/cluster-2.xyz,clusters/cluster-12.xyz,4.4208485576468135
clusters/cluster-2.xyz,clusters/cluster-13.xyz,4.831857133816659
clusters/cluster-2.xyz,clusters/cluster-14.xyz,5.038073383983768
clusters/cluster-2.xyz,clusters/cluster-15.xyz,5.0602634884918425
clusters/cluster-2.xyz,clusters/cluster-16.xyz,4.303019418042299
clusters/cluster-2.xyz,clusters/cluster-17.xyz,4.361768615503143
clusters/cluster-2.xyz,clusters/cluster-18.xyz,4.880836656848037
clusters/cluster-2.xyz,clusters/cluster-19.xyz,4.192696136684624
clusters/cluster-2.xyz,clusters/cluster-20.xyz,4.366512395122826
clusters/cluster-2.xyz,clusters/cluster-21.xyz,5.097885352190569
clusters/cluster-2.xyz,clusters/cluster-22.xyz,4.6488767584430235
clusters/cluster-2.xyz,clusters/cluster-23.xyz,4.979595571939191
clusters/cluster-2.xyz,clusters/cluster-24.xyz,4.723786710250577
clusters/cluster-2.xyz,clusters/cluster-25.xyz,5.361449571123893
clusters/cluster-2.xyz,clusters/cluster-26.xyz,4.85488820509506
clusters/cluster-2.xyz,clusters/cluster-27.xyz,5.198170990801818
clusters/cluster-2.xyz,clusters/cluster-28.xyz,4.608269386869741
clusters/cluster-2.xyz,clusters/cluster-29.xyz,5.313324743264629
clusters/cluster-2.xyz,clusters/cluster-30.xyz,4.615933313011699
clusters/cluster-2.xyz,clusters/cluster-31.xyz,4.8386639217249865
clusters/cluster-2.xyz,clusters/cluster-32.xyz,5.169293756482483
clusters/cluster-2.xyz,clusters/cluster-33.xyz,4.356458178921657
clusters/cluster-2.xyz,clusters/cluster-34.xyz,5.080497421587943
clusters/cluster-2.xyz,clusters/cluster-35.xyz,4.704665214789918
clusters/cluster-2.xyz,clusters/cluster-36.xyz,4.964102550884277
clusters/cluster-2.xyz,clusters/cluster-37.xyz,4.817458510781365
clusters/cluster-2.xyz,clusters/cluster-38.xyz,4.8460839418253165
clusters/cluster-2.xyz,clusters/cluster-39.xyz,5.209470102259063
clusters/cluster-2.xyz,clusters/cluster-40.xyz,5.131442500619382
clusters/cluster-2.xyz,clusters/cluster-41.xyz,4.620686080923701
clusters/cluster-2.xyz,clusters/cluster-42.xyz,5.147832692109678
clusters/cluster-2.xyz,clusters/cluster-43.xyz,5.022697318475254
clusters/cluster-2.xyz,clusters/cluster-44.xyz,5.422738231867316
clusters/cluster-2.xyz,clusters/cluster-45.xyz,5.503611922206735
clusters/cluster-2.xyz,clusters/cluster-46.xyz,5.08755457697039
clusters/cluster-2.xyz,clusters/cluster-47.xyz,5.467864305575036
clusters/cluster-2.xyz,clusters/cluster-48.xyz,4.532387872805301
clusters/cluster-2.xyz,clusters/cluster-49.xyz,4.9466026061339265
clusters/cluster-2.xyz,clusters/cluster-50.xyz,5.032177528279152
clusters/cluster-2.xyz,clusters/cluster-51.xyz,5.273002635877731
clusters/cluster-2.xyz,clusters/cluster-52.xyz,4.371967402519494
clusters/cluster-2.xyz,clusters/cluster-53.xyz,4.817302485808122
clusters/cluster-2.xyz,clusters/cluster-54.xyz,5.188682519136468
clusters/cluster-2.xyz,clusters/cluster-55.xyz,4.899257709006767
clusters/cluster-2.xyz,clusters/cluster-56.xyz,4.361143516874138
clusters/cluster-2.xyz,clusters/cluster-57.xyz,5.070806616159287
clusters/cluster-2.xyz,clusters/cluster-58.xyz,5.2420483966533205
clusters/cluster-2.xyz,clusters/cluster-59.xyz,4.243322385633872
clusters/cluster-2.xyz,clusters/cluster-60.xyz,4.914027052731006
clusters/cluster-2.xyz,clusters/cluster-61.xyz,5.18371374135285
clusters/cluster-2.xyz,clusters/cluster-62.xyz,4.2732448340835925
clusters/cluster-2.xyz,clusters/cluster-63.xyz,4.998887512090667
clusters/cluster-2.xyz,clusters/cluster-64.xyz,4.269922424022929
