cluster1,cluster2,rmsd,cluster_id
0,1,4.609165141449654,0
0,2,4.519750093336251,0
0,3,3.991933512346743,1
0,4,4.043595382628767,9
0,5,3.754536785609628,5
0,6,5.266047352155623,2
0,7,4.733478084474683,4
0,8,4.325818885854778,3
0,9,3.8906161162166852,1
0,10,4.124414475820837,9
0,11,4.727182004911649,4
0,12,4.551140686519255,0
0,13,4.0415519327247456,9
0,14,3.902957432012166,1
0,15,4.588236318925444,0
0,16,3.872537404580424,1
0,17,3.9244063070530206,1
0,18,3.7149971519309055,5
0,19,3.4740997242969494,5
0,20,5.00895013035204,6
0,21,4.086195210132166,9
0,22,3.5586590838397507,5
0,23,4.459305593859324,7
0,24,4.169266060533465,9
0,25,4.191790946355402,3
0,26,4.8997454996015,6
0,27,3.8788252040801035,1
0,28,4.09083647319624,9
0,29,4.495981626794149,7
0,30,4.7546163720425145,4
0,31,3.5235260323778124,5
0,32,4.540588162630285,0
0,33,4.4747666283813725,7
0,34,4.279395588917986,3
0,35,4.688963389019774,4
0,36,4.053490798748033,9
0,37,3.685115091178005,5
0,38,3.87594730269828,1
0,39,4.773438912174557,4
0,40,4.50183583525094,7
0,41,4.660225998587715,0
0,42,3.6464523248567695,5
0,43,4.557028268075841,0
0,44,4.1544845182990215,9
0,45,3.9665669201577907,1
0,46,4.185639288517244,3
0,47,4.511279854930106,0
1,0,4.6091651414496555,0
1,2,3.36256417198739,8
1,3,4.49988276863562,7
1,4,4.173334836358479,3
1,5,4.716887827853925,4
1,6,4.101094443845523,9
1,7,4.5321746015497215,0
1,8,4.981899591774184,6
1,9,4.941684247778351,6
1,10,5.497509868397746,2
1,11,4.130947128502648,9
1,12,4.350872986138146,7
1,13,5.0887199309401865,6
1,14,5.3128954691233945,2
1,15,4.699641582432104,4
1,16,5.061062307508855,6
1,17,4.064053232930472,9
1,18,4.959116913245432,6
1,19,5.044919618696613,6
1,20,4.907283362983415,6
1,21,4.436272159087656,7
1,22,4.182442108159173,3
1,23,5.065759266512262,6
1,24,5.158870890266488,2
1,25,4.667066838936888,0
1,26,4.7198915855045875,4
1,27,5.272050670045753,2
1,28,5.076157389471528,6
1,29,4.084040425754544,9
1,30,4.471757773832897,7
1,31,4.748135098385212,4
1,32,5.000447822495123,6
1,33,4.970632202422218,6
1,34,4.912381622003112,6
1,35,4.466543769162587,7
1,36,5.307556516348762,2
1,37,4.256989381202013,3
1,38,4.804775966692549,4
1,39,5.05254510553777,6
1,40,4.901618863844921,6
1,41,4.404763277709106,7
1,42,5.020888516103757,6
1,43,5.179846864624476,2
1,44,5.147834322840385,2
1,45,4.551496191074756,0
1,46,4.231561565092172,3
1,47,4.079275744902547,9
2,0,4.519750093336251,0
2,1,3.3625641719873904,8
2,3,4.440038517991353,7
2,4,4.257279176909883,3
2,5,4.245566379192376,3
2,6,4.5052623343018645,0
2,7,4.196512627048659,3
2,8,4.94007813620826,6
2,9,4.152811724858303,9
2,10,4.878868388396434,4
2,11,3.9412570153512654,1
2,12,4.230222200772337,3
2,13,5.033609987729947,6
2,14,4.742972548465082,4
2,15,4.692670366510712,4
2,16,4.832640787102898,4
2,17,4.107822407760862,9
2,18,4.6918134858586935,4
2,19,4.337398439075734,7
2,20,5.0611965101328,6
2,21,4.230245826793453,3
2,22,3.8353463983048512,1
2,23,5.057954745300401,6
2,24,4.660012209515869,0
2,25,4.64890145357175,0
2,26,4.484494283053166,7
2,27,4.7710942402113385,4
2,28,4.850056641250101,4
2,29,3.806220203891004,1
2,30,4.334980408738068,3
2,31,4.83884095854981,4
2,32,4.554817291965878,0
2,33,4.682737944373415,4
2,34,4.982423110800696,6
2,35,4.483550230896909,7
2,36,4.9371469289956265,6
2,37,4.3833445409323595,7
2,38,4.645596417274994,0
2,39,5.277816554809632,2
2,40,5.028910840665722,6
2,41,4.154051298747707,9
2,42,4.970747255178151,6
2,43,4.972851884641334,6
2,44,4.794035410013705,4
2,45,4.204152113254766,3
2,46,4.624049719102311,0
2,47,4.267333740346493,3
3,0,3.991933512346744,1
3,1,4.4998827686356195,7
3,2,4.440038517991353,7
3,4,4.439400308453681,7
3,5,4.97796272080492,6
3,6,4.441559394815796,7
3,7,4.12535051206164,9
3,8,4.6756771300791735,0
3,9,4.50916622105563,0
3,10,4.929304207700759,6
3,11,3.954853923046121,1
3,12,4.980374961944309,6
3,13,5.212585655437247,2
3,14,4.064889802040727,9
3,15,4.511206986979662,0
3,16,4.8171640099690425,4
3,17,3.391825602833148,5
3,18,4.6609937442867935,0
3,19,3.928949875099063,1
3,20,4.197809899368686,3
3,21,4.6489046320223535,0
3,22,4.347000513103658,7
3,23,4.942871195757221,6
3,24,4.397074745239952,7
3,25,4.082822959530473,9
3,26,4.750253375565273,4
3,27,4.255015930024841,3
3,28,4.433973007828432,7
3,29,4.401795400870764,7
3,30,4.641140465838466,0
3,31,4.501060274014635,7
3,32,4.616193474707448,0
3,33,4.643499944633627,0
3,34,4.817490832594153,4
3,35,3.759620066873078,5
3,36,4.5843609615729415,0
3,37,3.8490347714814415,1
3,38,4.912843226182203,6
3,39,4.693110909121816,4
3,40,3.687737367592239,5
3,41,3.7147307562746947,5
3,42,4.810116979871809,4
3,43,4.849876726011224,4
3,44,5.175737637508303,2
3,45,4.562429483942554,0
3,46,5.094091860715129,6
3,47,4.845940769717385,4
4,0,4.043595382628767,9
4,1,4.17333483635848,3
4,2,4.257279176909884,3
4,3,4.439400308453684,7
4,5,4.6189809476357055,0
4,6,5.414050071784422,2
4,7,4.837429377014543,4
4,8,5.2075417726517195,2
4,9,4.902850185872116,6
4,10,4.6493282786638765,0
4,11,4.4730337312876935,7
4,12,4.619565241676222,0
4,13,4.793644436372416,4
4,14,5.112392160916042,6
4,15,4.4169564568287445,7
4,16,5.284475873804217,2
4,17,4.415234661985261,7
4,18,4.304092819246641,3
4,19,4.5520238366518475,0
4,20,4.944679443190598,6
4,21,4.9206231167308525,6
4,22,4.566975852993457,0
4,23,4.4063247611310015,7
4,24,4.817898692423711,4
4,25,4.9922631511743285,6
4,26,5.426582614207729,2
4,27,4.994193546219228,6
4,28,4.732356342891841,4
4,29,4.80132257617619,4
4,30,4.5389868422740935,0
4,31,4.564853103094611,0
4,32,5.038306858292559,6
4,33,4.951289342829631,6
4,34,4.682217273384179,4
4,35,4.931774425664902,6
4,36,5.393248801169343,2
4,37,4.695797240972944,4
4,38,4.306935398220467,3
4,39,5.3516078234885205,2
4,40,5.141881984565236,2
4,41,4.023744376035754,9
4,42,4.2543764531170964,3
4,43,5.0729850894173465,6
4,44,5.256966521413228,2
4,45,4.650665621742012,0
4,46,5.188596589975546,2
4,47,4.619880134412074,0
5,0,3.754536785609628,5
5,1,4.716887827853924,4
5,2,4.245566379192376,3
5,3,4.97796272080492,6
5,4,4.618980947635705,0
5,6,5.188692411749347,2
5,7,4.789232233552344,4
5,8,4.384968343484877,7
5,9,3.9071473347196495,1
5,10,4.635430147643451,0
5,11,4.04098985147339,9
5,12,4.330560610494868,3
5,13,4.374443671488551,7
5,14,4.434848841105762,7
5,15,5.037854836794027,6
5,16,4.818240276863752,4
5,17,4.185631154058015,3
5,18,3.54847610719764,5
5,19,3.507570610914293,5
5,20,4.778393925679592,4
5,21,4.044886902809809,9
5,22,3.576082317666864,5
5,23,4.612660825340137,0
5,24,4.235691739948567,3
5,25,4.4367992002421275,7
5,26,4.955366777924604,6
5,27,4.667024700329907,0
5,28,4.451821214227103,7
5,29,4.269775794984399,3
5,30,4.74462500538279,4
5,31,4.28394548430894,3
5,32,4.718832547442653,4
5,33,4.5962547109145,0
5,34,4.477533385140644,7
5,35,4.839704173504519,4
5,36,4.832675891519355,4
5,37,4.354141407649634,7
5,38,4.437763146173879,7
5,39,4.65748403937886,0
5,40,4.991866515125887,6
5,41,4.390585987683476,7
5,42,3.7455842459413793,5
5,43,4.075567389312291,9
5,44,3.9723133384100993,1
5,45,3.9400868498566113,1
5,46,4.4519718235511005,7
5,47,3.968276981337032,1
6,0,5.266047352155626,2
6,1,4.101094443845523,9
6,2,4.5052623343018645,0
6,3,4.441559394815795,7
6,4,5.414050071784423,2
6,5,5.188692411749347,2
6,7,4.861406285620215,4
6,8,5.04383035763187,6
6,9,5.0181459455314466,6
6,10,4.9167446648018585,6
6,11,4.057697161344279,9
6,12,4.881724028340893,4
6,13,4.751867242052719,4
6,14,4.846132111954733,4
6,15,4.9279419595698615,6
6,16,4.632553275319638,0
6,17,4.450522771142956,7
6,18,5.349917516976976,2
6,19,4.8439130113280395,4
6,20,4.748377960920597,4
6,21,4.548119666385731,0
6,22,4.546746137529666,0
6,23,4.950723923251028,6
6,24,5.296693061115983,2
6,25,4.34002324263429,7
6,26,4.938479522720357,6
6,27,4.9936130792017845,6
6,28,4.5442252365024025,0
6,29,4.296685064903453,3
6,30,4.620886755809643,0
6,31,4.82558145066964,4
6,32,4.1389088898645285,9
6,33,4.5299310303162565,0
6,34,4.762540020440143,4
6,35,4.140064140105789,9
6,36,4.880835573248793,4
6,37,4.386816991621998,7
6,38,4.965210439020467,6
6,39,4.565134962748171,0
6,40,4.382633460100534,7
6,41,4.7939706752877065,4
6,42,5.056320651923758,6
6,43,4.228576747618812,3
6,44,4.7970919989061285,4
6,45,3.7869198737755716,1
6,46,4.631983512993929,0
6,47,4.504157821275136,0
7,0,4.733478084474681,4
7,1,4.5321746015497215,0
7,2,4.196512627048656,3
7,3,4.12535051206164,9
7,4,4.837429377014541,4
7,5,4.7892322335523465,4
7,6,4.861406285620215,4
7,8,4.2776172015801235,3
7,9,4.74589375724829,4
7,10,4.014036534372279,9
7,11,4.420621110261036,7
7,12,4.494147829418481,7
7,13,5.2265073084163625,2
7,14,4.369493106560288,7
7,15,3.1856778867735613,8
7,16,3.8393891042759067,1
7,17,4.515960823762142,0
7,18,4.543593380327384,0
7,19,4.499641625379375,7
7,20,4.189478791740578,3
7,21,4.477272153692722,7
7,22,4.532262168081122,0
7,23,4.340452096007098,7
7,24,4.7336717765691345,4
7,25,4.2557994031914435,3
7,26,4.133560062135674,9
7,27,3.884391639435873,1
7,28,4.429714070550249,7
7,29,4.3349145354498635,3
7,30,3.9223753946038724,1
7,31,4.741756409521499,4
7,32,4.314832133812867,3
7,33,4.4665590098087815,7
7,34,4.4121071732574055,7
7,35,4.032130507717784,9
7,36,3.682615206619333,5
7,37,3.9430137719188814,1
7,38,4.276577359500067,3
7,39,4.333923699209802,3
7,40,4.1288215806943,9
7,41,4.051996360879727,9
7,42,4.678191611396362,0
7,43,3.7629217123173726,5
7,44,5.231302965839447,2
7,45,4.819303138322564,4
7,46,4.3615061158467805,7
7,47,4.105612974291756,9
8,0,4.32581888585478,3
8,1,4.981899591774184,6
8,2,4.94007813620826,6
8,3,4.675677130079173,0
8,4,5.207541772651722,2
8,5,4.384968343484879,7
8,6,5.043830357631868,6
8,7,4.277617201580124,3
8,9,4.715405507133134,4
8,10,4.378086591857093,7
8,11,4.6102467520845485,0
8,12,4.916372586277543,6
8,13,4.988910309507793,6
8,14,4.3806070668315735,7
8,15,4.2423290267897675,3
8,16,4.307237012160689,3
8,17,4.727374823272237,4
8,18,3.8811626474908896,1
8,19,4.838264827980381,4
8,20,4.423388912605457,7
8,21,4.215817081260009,3
8,22,4.200659808233366,3
8,23,4.722741672840917,4
8,24,4.342821916275836,7
8,25,4.538118844374538,0
8,26,4.9792466086331215,6
8,27,4.635250441667688,0
8,28,4.267822207869406,3
8,29,4.979046607469764,6
8,30,5.060961810829007,6
8,31,4.629049685657791,0
8,32,4.016387752455293,9
8,33,4.090951825384168,9
8,34,4.178914029526566,3
8,35,4.2758345082798215,3
8,36,3.8470553034086983,1
8,37,4.24039198763426,3
8,38,3.5584728913505534,5
8,39,4.463564710609325,7
8,40,3.8292274051671464,1
8,41,4.8333787150040495,4
8,42,4.108090919542853,9
8,43,3.741929807723567,5
8,44,5.381753143358947,2
8,45,5.0262574900587405,6
8,46,4.51257965169461,0
8,47,4.40959614110062,7
9,0,3.890616116216685,1
9,1,4.941684247778354,6
9,2,4.152811724858304,9
9,3,4.50916622105563,0
9,4,4.902850185872113,6
9,5,3.9071473347196495,1
9,6,5.018145945531447,6
9,7,4.7458937572482895,4
9,8,4.715405507133134,4
9,10,4.670295975462717,0
9,11,3.653805122632132,5
9,12,4.4338009098758135,7
9,13,4.061045928817443,9
9,14,4.114879285091057,9
9,15,5.0810766423634,6
9,16,5.0469838843868935,6
9,17,4.384598098349378,7
9,18,4.387295009051393,7
9,19,3.5198114718408275,5
9,20,4.741624813373701,4
9,21,4.417047093739976,7
9,22,4.0638883006085385,9
9,23,4.8683975073096954,4
9,24,4.063615649500104,9
9,25,4.708537657640223,4
9,26,4.265377938111474,3
9,27,4.3673668460481085,7
9,28,3.916778219432244,1
9,29,3.725740802722581,5
9,30,4.170136802031498,3
9,31,4.124622248737907,9
9,32,5.0095341325938705,6
9,33,4.8774954322491615,4
9,34,4.78748571892521,4
9,35,5.007485985835451,6
9,36,4.4488311099564095,7
9,37,4.315088397455422,3
9,38,4.3933560124930064,7
9,39,5.388953179736295,2
9,40,4.899518490560254,6
9,41,4.544193793309543,0
9,42,4.036251695819639,9
9,43,4.077845531166181,9
9,44,4.332238125461287,3
9,45,3.967713591424119,1
9,46,4.403589445037358,7
9,47,5.096040420744881,6
10,0,4.124414475820837,9
10,1,5.497509868397746,2
10,2,4.878868388396434,4
10,3,4.929304207700758,6
10,4,4.649328278663877,0
10,5,4.63543014764345,0
10,6,4.9167446648018585,6
10,7,4.014036534372279,9
10,8,4.378086591857093,7
10,9,4.670295975462718,0
10,11,5.144171474680966,2
10,12,4.503355327970022,0
10,13,5.009829702551702,6
10,14,3.4339727550711703,5
10,15,3.857078365815206,1
10,16,3.9576243900727004,1
10,17,5.291600787443535,2
10,18,4.015952762600821,9
10,19,4.48528532949888,7
10,20,4.746490398959772,4
10,21,3.980530182233263,1
10,22,4.429588244462472,7
10,23,3.7205477152145376,5
10,24,4.653742060248012,0
10,25,4.656322818049142,0
10,26,4.486794962989412,7
10,27,4.738834236161092,4
10,28,4.068375415347524,9
10,29,4.8607504143214335,4
10,30,4.310512445699166,3
10,31,4.646368533744268,0
