cluster1,cluster2,rmsd,cluster_id
0,1,4.609165141449654,6
0,2,4.519750093336251,0
0,3,3.991933512346743,1
0,4,4.043595382628767,4
0,5,3.754536785609628,7
0,6,5.266047352155623,3
0,7,4.733478084474683,2
0,8,4.325818885854778,9
0,9,3.8906161162166852,1
0,10,4.124414475820837,4
0,11,4.727182004911649,2
0,12,4.551140686519255,6
0,13,4.0415519327247456,4
0,14,3.902957432012166,1
0,15,4.588236318925444,6
0,16,3.872537404580424,1
0,17,3.9244063070530206,1
0,18,3.7149971519309055,7
0,19,3.4740997242969494,7
0,20,5.00895013035204,8
0,21,4.086195210132166,4
0,22,3.5586590838397507,7
0,23,4.459305593859324,0
0,24,4.169266060533465,4
0,25,4.191790946355402,9
0,26,4.8997454996015,8
0,27,3.8788252040801035,1
0,28,4.09083647319624,4
0,29,4.495981626794149,0
0,30,4.7546163720425145,2
0,31,3.5235260323778124,7
0,32,4.540588162630285,6
0,33,4.4747666283813725,0
0,34,4.279395588917986,9
0,35,4.688963389019774,6
0,36,4.053490798748033,4
0,37,3.685115091178005,7
0,38,3.87594730269828,1
0,39,4.773438912174557,2
0,40,4.50183583525094,0
0,41,4.660225998587715,6
0,42,3.6464523248567695,7
0,43,4.557028268075841,6
0,44,4.1544845182990215,4
0,45,3.9665669201577907,1
0,46,4.185639288517244,9
0,47,4.511279854930106,0
1,0,4.6091651414496555,6
1,2,3.36256417198739,5
1,3,4.49988276863562,0
1,4,4.173334836358479,4
1,5,4.716887827853925,2
1,6,4.101094443845523,4
1,7,4.5321746015497215,6
1,8,4.981899591774184,8
1,9,4.941684247778351,8
1,10,5.497509868397746,3
1,11,4.130947128502648,4
1,12,4.350872986138146,9
1,13,5.0887199309401865,8
1,14,5.3128954691233945,3
1,15,4.699641582432104,2
1,16,5.061062307508855,8
1,17,4.064053232930472,4
1,18,4.959116913245432,8
1,19,5.044919618696613,8
1,20,4.907283362983415,8
1,21,4.436272159087656,0
1,22,4.182442108159173,9
1,23,5.065759266512262,8
1,24,5.158870890266488,3
1,25,4.667066838936888,6
1,26,4.7198915855045875,2
1,27,5.272050670045753,3
1,28,5.076157389471528,8
1,29,4.084040425754544,4
1,30,4.471757773832897,0
1,31,4.748135098385212,2
1,32,5.000447822495123,8
1,33,4.970632202422218,8
1,34,4.912381622003112,8
1,35,4.466543769162587,0
1,36,5.307556516348762,3
1,37,4.256989381202013,9
1,38,4.804775966692549,2
1,39,5.05254510553777,8
1,40,4.901618863844921,8
1,41,4.404763277709106,0
1,42,5.020888516103757,8
1,43,5.179846864624476,3
1,44,5.147834322840385,3
1,45,4.551496191074756,6
1,46,4.231561565092172,9
1,47,4.079275744902547,4
2,0,4.519750093336251,0
2,1,3.3625641719873904,5
2,3,4.440038517991353,0
2,4,4.257279176909883,9
2,5,4.245566379192376,9
2,6,4.5052623343018645,0
2,7,4.196512627048659,9
2,8,4.94007813620826,8
2,9,4.152811724858303,4
2,10,4.878868388396434,2
2,11,3.9412570153512654,1
2,12,4.230222200772337,9
2,13,5.033609987729947,8
2,14,4.742972548465082,2
2,15,4.692670366510712,6
2,16,4.832640787102898,2
2,17,4.107822407760862,4
2,18,4.6918134858586935,6
2,19,4.337398439075734,9
2,20,5.0611965101328,8
2,21,4.230245826793453,9
2,22,3.8353463983048512,1
2,23,5.057954745300401,8
2,24,4.660012209515869,6
2,25,4.64890145357175,6
2,26,4.484494283053166,0
2,27,4.7710942402113385,2
2,28,4.850056641250101,2
2,29,3.806220203891004,1
2,30,4.334980408738068,9
2,31,4.83884095854981,2
2,32,4.554817291965878,6
2,33,4.682737944373415,6
2,34,4.982423110800696,8
2,35,4.483550230896909,0
2,36,4.9371469289956265,8
2,37,4.3833445409323595,0
2,38,4.645596417274994,6
2,39,5.277816554809632,3
2,40,5.028910840665722,8
2,41,4.154051298747707,4
2,42,4.970747255178151,8
2,43,4.972851884641334,8
2,44,4.794035410013705,2
2,45,4.204152113254766,9
2,46,4.624049719102311,6
2,47,4.267333740346493,9
3,0,3.991933512346744,1
3,1,4.4998827686356195,0
3,2,4.440038517991353,0
3,4,4.439400308453681,0
3,5,4.97796272080492,8
3,6,4.441559394815796,0
3,7,4.12535051206164,4
3,8,4.6756771300791735,6
3,9,4.50916622105563,0
3,10,4.929304207700759,8
3,11,3.954853923046121,1
3,12,4.980374961944309,8
3,13,5.212585655437247,3
3,14,4.064889802040727,4
3,15,4.511206986979662,0
3,16,4.8171640099690425,2
3,17,3.391825602833148,7
3,18,4.6609937442867935,6
