xyz,kmeans_cluster
0,1
1,8
2,8
3,0
4,6
5,0
6,2
7,0
8,9
9,0
10,6
11,6
12,9
13,8
14,0
15,0
16,1
17,0
18,0
19,9
20,9
21,0
22,2
23,0
24,9
25,9
26,8
27,1
28,4
29,2
30,6
31,9
32,4
33,6
34,0
35,0
36,2
37,0
38,0
39,8
40,8
41,0
42,9
43,0
44,2
45,1
46,9
47,2
